recipe_id,recipe_title,style,style_group,year,malt_name,malt_name_normalized,amount_lb,color_L,malt_type,pct_of_grist
16,Yellow Rose SMaSH,AMERICAN IPA,IPA,2021.0,Dingemans Pale Ale malt,Dingemans Pale Ale,13.0,,base,100.0
17,Lucky 13 Dark Mild,MILD,OTHER,2021.0,Biscuit Malt,Biscuit,0.75,,specialty,10.0
17,Lucky 13 Dark Mild,MILD,OTHER,2021.0,Chocolate Malt,Chocolate,0.5,,roast,6.666666666666667
17,Lucky 13 Dark Mild,MILD,OTHER,2021.0,Special B,Special B,0.25,,specialty,3.3333333333333335
17,Lucky 13 Dark Mild,MILD,OTHER,2021.0,Golden Light dry malt extract,Golden Light dry malt extract,6.0,,specialty,80.0
18,Canoe-Chuck Lager,AMERICAN LAGER,LAGER,2021.0,Briess Pilsner dried malt extract,Briess Pilsner dried malt extract,1.5,,base,30.0
18,Canoe-Chuck Lager,AMERICAN LAGER,LAGER,2021.0,Briess Pilsner dried malt extract,Briess Pilsner dried malt extract,1.5,,base,30.0
18,Canoe-Chuck Lager,AMERICAN LAGER,LAGER,2021.0,rice solids,rice solids,2.0,,adjunct,40.0
19,Black Is Beautiful Imperial Stout (Countdown Brewing Version),IMPERIAL STOUT,STOUT,2021.0,Maris Otter pale ale malt,Maris Otter pale ale,8.5,,base,80.95238095238095
19,Black Is Beautiful Imperial Stout (Countdown Brewing Version),IMPERIAL STOUT,STOUT,2021.0,American roast barley,American roast barley,1.5,,base,14.285714285714285
19,Black Is Beautiful Imperial Stout (Countdown Brewing Version),IMPERIAL STOUT,STOUT,2021.0,British crystal 160 malt,British crystal 160,0.5,,crystal,4.761904761904762
20,Fuller’s Chiswick Bitter Clone,ENGLISH BITTER,OTHER,2021.0,pale malt,pale,7.0,,base,95.23809523809524
20,Fuller’s Chiswick Bitter Clone,ENGLISH BITTER,OTHER,2021.0,crystal malt,crystal,0.35,120.0,crystal,4.761904761904762
21,Mad About Saison,BELGIAN ALE,BELGIAN,2018.0,Pilsner malt,Pilsner,6.0,,base,63.1578947368421
21,Mad About Saison,BELGIAN ALE,BELGIAN,2018.0,light Munich malt,light Munich,2.0,10.0,base,21.052631578947366
21,Mad About Saison,BELGIAN ALE,BELGIAN,2018.0,wheat malt,wheat,1.0,,wheat,10.526315789473683
21,Mad About Saison,BELGIAN ALE,BELGIAN,2018.0,table sugar,table sugar,0.5,,adjunct,5.263157894736842
22,Witty Dutchman Witbier,BELGIAN ALE,BELGIAN,2019.0,2-row Pilsner malt,2-row Pilsner,4.0,,base,47.05882352941176
22,Witty Dutchman Witbier,BELGIAN ALE,BELGIAN,2019.0,white wheat malt,white wheat,2.0,,wheat,23.52941176470588
22,Witty Dutchman Witbier,BELGIAN ALE,BELGIAN,2019.0,red wheat malt,red wheat,1.5,,wheat,17.647058823529413
22,Witty Dutchman Witbier,BELGIAN ALE,BELGIAN,2019.0,yellow flaked corn,yellow flaked corn,0.75,,adjunct,8.823529411764707
22,Witty Dutchman Witbier,BELGIAN ALE,BELGIAN,2019.0,flaked oats,flaked oats,0.25,,adjunct,2.941176470588235
23,Summer Wheat,AMERICAN WHEAT,WHEAT_BEER,2021.0,pale ale malt,pale ale,6.0,,base,46.15065293065884
23,Summer Wheat,AMERICAN WHEAT,WHEAT_BEER,2021.0,white wheat malt,white wheat,6.0,,wheat,46.15065293065884
23,Summer Wheat,AMERICAN WHEAT,WHEAT_BEER,2021.0,rice hulls,rice hulls,1.000899486763435,,adjunct,7.698694138682311
24,Em Day’s Pale Ale,AMERICAN PALE ALE,IPA,2021.0,two-row pale malt,two-row pale,3.0,,base,26.96629213483146
24,Em Day’s Pale Ale,AMERICAN PALE ALE,IPA,2021.0,Pilsner malt,Pilsner,3.0,,base,26.96629213483146
24,Em Day’s Pale Ale,AMERICAN PALE ALE,IPA,2021.0,Maris Otter malt,Maris Otter,3.0,,base,26.96629213483146
24,Em Day’s Pale Ale,AMERICAN PALE ALE,IPA,2021.0,light Munich malt,light Munich,1.25,,base,11.235955056179774
24,Em Day’s Pale Ale,AMERICAN PALE ALE,IPA,2021.0,white wheat malt,white wheat,0.625,,wheat,5.617977528089887
24,Em Day’s Pale Ale,AMERICAN PALE ALE,IPA,2021.0,honey malt,honey,0.25,,adjunct,2.247191011235955
25,"Quad-Boiled, Non-Stopped, Big Hopped & Pretzel-Topped Double India Pale Ale",SPECIALTY IPA,IPA,2006.0,American Pale Malt,American Pale,8.25,,base,41.41566265060241
25,"Quad-Boiled, Non-Stopped, Big Hopped & Pretzel-Topped Double India Pale Ale",SPECIALTY IPA,IPA,2006.0,British Pale Malt,British Pale,3.67,,base,18.423694779116463
25,"Quad-Boiled, Non-Stopped, Big Hopped & Pretzel-Topped Double India Pale Ale",SPECIALTY IPA,IPA,2006.0,American Vienna Malt,American Vienna,2.75,,base,13.805220883534137
25,"Quad-Boiled, Non-Stopped, Big Hopped & Pretzel-Topped Double India Pale Ale",SPECIALTY IPA,IPA,2006.0,Ashburne Mild Malt,Ashburne Mild,1.0,,specialty,5.02008032128514
25,"Quad-Boiled, Non-Stopped, Big Hopped & Pretzel-Topped Double India Pale Ale",SPECIALTY IPA,IPA,2006.0,Oat Malt,Oat,0.75,,specialty,3.765060240963855
25,"Quad-Boiled, Non-Stopped, Big Hopped & Pretzel-Topped Double India Pale Ale",SPECIALTY IPA,IPA,2006.0,Black Patent Malt,Black Patent,0.125,,roast,0.6275100401606425
25,"Quad-Boiled, Non-Stopped, Big Hopped & Pretzel-Topped Double India Pale Ale",SPECIALTY IPA,IPA,2006.0,Acidulated Malt,Acidulated,0.125,,specialty,0.6275100401606425
25,"Quad-Boiled, Non-Stopped, Big Hopped & Pretzel-Topped Double India Pale Ale",SPECIALTY IPA,IPA,2006.0,Turbinado Sugar,Turbinado Sugar,1.0,,adjunct,5.02008032128514
25,"Quad-Boiled, Non-Stopped, Big Hopped & Pretzel-Topped Double India Pale Ale",SPECIALTY IPA,IPA,2006.0,Philly Pretzels,Philly Pretzels,2.25,,specialty,11.295180722891565
26,Janet’s Brown Ale – Big Brew 2021,AMERICAN BROWN ALE,BROWN_ALE,2021.0,pale malt,pale,11.8,,base,74.68354430379746
26,Janet’s Brown Ale – Big Brew 2021,AMERICAN BROWN ALE,BROWN_ALE,2021.0,dextrin malt,dextrin,1.3,,specialty,8.227848101265822
26,Janet’s Brown Ale – Big Brew 2021,AMERICAN BROWN ALE,BROWN_ALE,2021.0,40L crystal malt,40L crystal,1.0,40.0,crystal,6.329113924050632
26,Janet’s Brown Ale – Big Brew 2021,AMERICAN BROWN ALE,BROWN_ALE,2021.0,wheat malt,wheat,0.8,,wheat,5.063291139240506
26,Janet’s Brown Ale – Big Brew 2021,AMERICAN BROWN ALE,BROWN_ALE,2021.0,350L chocolate malt,350L chocolate,0.4,,roast,2.531645569620253
26,Janet’s Brown Ale – Big Brew 2021,AMERICAN BROWN ALE,BROWN_ALE,2021.0,corn sugar,corn sugar,0.5,,adjunct,3.164556962025316
27,Big Bimp! American Barleywine,BARLEYWINE,STRONG_ALE,2019.0,Maris Otter pale malt,Maris Otter pale,19.0,,base,86.3565748549075
27,Big Bimp! American Barleywine,BARLEYWINE,STRONG_ALE,2019.0,40*L Crystal malt,40*L Crystal,1.000899486763435,40.0,crystal,4.549171128996058
27,Big Bimp! American Barleywine,BARLEYWINE,STRONG_ALE,2019.0,dextrose,dextrose,1.000899486763435,,adjunct,4.549171128996058
