recipe_id,recipe_title,style,style_group,year,hop_name,hop_name_normalized,amount_oz,alpha_acid_pct,usage,time_min,hop_type,batch_size_gal,oz_per_gal,biotransformation
716,Mendel’s Monster Double IPA,IMPERIAL / DOUBLE IPA,IPA,2018.0,Galaxy,Galaxy,1.9753434804846648,17.9,boil,5.0,flavor,5.0,0.39506869609693296,
716,Mendel’s Monster Double IPA,IMPERIAL / DOUBLE IPA,IPA,2018.0,Waimea,Waimea,1.9753434804846648,15.6,boil,5.0,flavor,5.0,0.39506869609693296,
716,Mendel’s Monster Double IPA,IMPERIAL / DOUBLE IPA,IPA,2018.0,Lemon Drop,Lemon Drop,1.9753434804846648,5.4,whirlpool,5.0,aroma,5.0,0.39506869609693296,
716,Mendel’s Monster Double IPA,IMPERIAL / DOUBLE IPA,IPA,2018.0,Mosaic,Mosaic,1.9753434804846648,12.4,whirlpool,0.0,aroma,5.0,0.39506869609693296,
716,Mendel’s Monster Double IPA,IMPERIAL / DOUBLE IPA,IPA,2018.0,Citra LupuLN2,Citra LupuLN2,1.9753434804846648,25.2,dry hop,0.0,dry_hop,5.0,0.39506869609693296,
716,Mendel’s Monster Double IPA,IMPERIAL / DOUBLE IPA,IPA,2018.0,Simcoe LupuLN2,Simcoe LupuLN2,1.9753434804846648,23.8,dry hop,0.0,dry_hop,5.0,0.39506869609693296,
716,Mendel’s Monster Double IPA,IMPERIAL / DOUBLE IPA,IPA,2018.0,Mosaic LupuLN2,Mosaic LupuLN2,1.9753434804846648,24.1,dry hop,0.0,dry_hop,5.0,0.39506869609693296,
717,Abbey Saison,BELGIAN ALE,BELGIAN,2018.0,French Aramis,French Aramis,2.0,6.1,FWH,0.0,fwh,13.2,0.15151515151515152,
717,Abbey Saison,BELGIAN ALE,BELGIAN,2018.0,French Aramis,French Aramis,0.9,6.1,boil,15.0,flavor,13.2,0.06818181818181819,
718,Neu Haus Belgian Dark Strong Ale,BELGIAN ALE,BELGIAN,2018.0,German Magnum,German Magnum,1.0,12.5,boil,40.0,bittering,5.5,0.18181818181818182,
719,Cherry Weisse,BERLINER WEISSE,SOUR,2018.0,Fuggle,Fuggle,1.0,2.8,mash,,other,5.0,0.2,
720,Smoked Helles,HELLES,OTHER,2018.0,German Tradition,German Tradition,1.25,4.9,boil,60.0,bittering,5.0,0.25,
720,Smoked Helles,HELLES,OTHER,2018.0,Hallertauer,Hallertauer,0.25,4.3,boil,5.0,flavor,5.0,0.05,
721,BlytheStone Light Cream Ale,Cream Ale,BLONDE_PALE,2018.0,Magnum,Magnum,1.0,11.9,boil,60.0,bittering,20.0,0.05,
721,BlytheStone Light Cream Ale,Cream Ale,BLONDE_PALE,2018.0,Hallertau Mittelfrueh,Hallertau Mittelfrueh,2.0,3.8,boil,20.0,flavor,20.0,0.1,
722,Ryan’s Pale Lager,HELLES,OTHER,2018.0,Willamette,Willamette,2.0,,boil,60.0,bittering,11.5,0.17391304347826086,
722,Ryan’s Pale Lager,HELLES,OTHER,2018.0,Willamette,Willamette,1.0,,boil,15.0,flavor,11.5,0.08695652173913043,
723,Robert’s German Pils,GERMAN PILSNER,LAGER,2018.0,Magnum,Magnum,0.881849768073511,14.0,boil,60.0,bittering,6.5,0.13566919508823247,
723,Robert’s German Pils,GERMAN PILSNER,LAGER,2018.0,Hallertauer Mittelfrueh,Hallertauer Mittelfrueh,0.9876717402423324,3.7,boil,10.0,flavor,6.5,0.15194949849882036,
723,Robert’s German Pils,GERMAN PILSNER,LAGER,2018.0,Tettnanger,Tettnanger,0.9876717402423324,3.5,boil,10.0,flavor,6.5,0.15194949849882036,
723,Robert’s German Pils,GERMAN PILSNER,LAGER,2018.0,Tettnanger,Tettnanger,0.9876717402423324,3.5,boil,0.0,other,6.5,0.15194949849882036,
723,Robert’s German Pils,GERMAN PILSNER,LAGER,2018.0,Hallertauer Mittelfrueh,Hallertauer Mittelfrueh,0.9876717402423324,3.7,boil,0.0,other,6.5,0.15194949849882036,
724,Don’t Mess With Snickers Vienna Lager,AMBER LAGER,LAGER,2018.0,Sterling,Sterling,0.4,11.6,boil,60.0,bittering,4.0,0.1,
724,Don’t Mess With Snickers Vienna Lager,AMBER LAGER,LAGER,2018.0,Czech Saaz,Czech Saaz,0.4,3.2,boil,15.0,flavor,4.0,0.1,
724,Don’t Mess With Snickers Vienna Lager,AMBER LAGER,LAGER,2018.0,Whirfloc,Whirfloc,1.0,,boil,5.0,flavor,4.0,0.25,
724,Don’t Mess With Snickers Vienna Lager,AMBER LAGER,LAGER,2018.0,Wyeast Yeast Nutrient,Wyeast Yeast Nutrient,1.0,,boil,10.0,flavor,4.0,0.25,
725,Jonathan’s Schwarzbier,DARK LAGER,LAGER,2018.0,Tettnang,Tettnang,1.25,4.5,FWH,0.0,fwh,8.0,0.15625,
725,Jonathan’s Schwarzbier,DARK LAGER,LAGER,2018.0,Hallertauer,Hallertauer,0.5,4.0,boil,30.0,flavor,8.0,0.0625,
725,Jonathan’s Schwarzbier,DARK LAGER,LAGER,2018.0,Tettnang,Tettnang,0.5,4.5,boil,30.0,flavor,8.0,0.0625,
725,Jonathan’s Schwarzbier,DARK LAGER,LAGER,2018.0,Tettnang,Tettnang,0.5,4.5,boil,0.0,other,8.0,0.0625,
726,HBock Helles Bock,BOCK,LAGER,2018.0,Magnum,Magnum,0.5,12.0,boil,60.0,bittering,3.5,0.14285714285714285,
726,HBock Helles Bock,BOCK,LAGER,2018.0,Hallertauer Mittelfrueh,Hallertauer Mittelfrueh,0.5,4.0,boil,30.0,flavor,3.5,0.14285714285714285,
726,HBock Helles Bock,BOCK,LAGER,2018.0,Whirlfloc Tablet,Whirlfloc Tablet,1.0,,boil,10.0,flavor,3.5,0.2857142857142857,
726,HBock Helles Bock,BOCK,LAGER,2018.0,Yeast Nutrient,Yeast Nutrient,0.25,,boil,10.0,flavor,3.5,0.07142857142857142,
727,The Bizarro Jerry Weissbier,HEFEWEIZEN,WHEAT_BEER,2018.0,Hallertau,Hallertau,1.0,4.5,boil,60.0,bittering,6.0,0.16666666666666666,
728,More Special Strong Bitter,ENGLISH PALE ALE,IPA,2018.0,Target,Target,1.5,8.6,boil,60.0,bittering,10.0,0.15,
728,More Special Strong Bitter,ENGLISH PALE ALE,IPA,2018.0,East Kent Goldings,East Kent Goldings,1.5,5.0,boil,30.0,flavor,10.0,0.15,
728,More Special Strong Bitter,ENGLISH PALE ALE,IPA,2018.0,East Kent Goldings,East Kent Goldings,1.5,5.0,boil,5.0,flavor,10.0,0.15,
729,Lost Art American Pale Ale,AMERICAN PALE ALE,IPA,2018.0,Magnum,Magnum,0.5,12.1,boil,60.0,bittering,5.0,0.1,
729,Lost Art American Pale Ale,AMERICAN PALE ALE,IPA,2018.0,Citra,Citra,1.0,14.0,boil,5.0,flavor,5.0,0.2,
729,Lost Art American Pale Ale,AMERICAN PALE ALE,IPA,2018.0,Mosaic,Mosaic,0.5,13.0,boil,5.0,flavor,5.0,0.1,
729,Lost Art American Pale Ale,AMERICAN PALE ALE,IPA,2018.0,Centennial,Centennial,0.25,8.0,boil,5.0,flavor,5.0,0.05,
729,Lost Art American Pale Ale,AMERICAN PALE ALE,IPA,2018.0,Citra,Citra,1.0,14.0,dry hop,0.0,dry_hop,5.0,0.2,
729,Lost Art American Pale Ale,AMERICAN PALE ALE,IPA,2018.0,Mosaic,Mosaic,0.5,13.0,dry hop,0.0,dry_hop,5.0,0.1,
729,Lost Art American Pale Ale,AMERICAN PALE ALE,IPA,2018.0,Centennial,Centennial,0.25,8.0,dry hop,0.0,dry_hop,5.0,0.05,
730,The Goatsman Kentucky Common,AMBER LAGER,LAGER,2018.0,Cluster,Cluster,0.7,7.6,boil,60.0,bittering,5.0,0.13999999999999999,
730,The Goatsman Kentucky Common,AMBER LAGER,LAGER,2018.0,Cluster,Cluster,0.3,7.6,boil,30.0,flavor,5.0,0.06,
731,Candies Wit English Porter,ENGLISH PORTER,PORTER,2018.0,Magnum,Magnum,0.8,12.4,boil,60.0,bittering,9.0,0.08888888888888889,
731,Candies Wit English Porter,ENGLISH PORTER,PORTER,2018.0,Willamette,Willamette,1.0,4.6,boil,10.0,flavor,9.0,0.1111111111111111,
732,Shadow Monster Imperial Stout,IMPERIAL STOUT,STOUT,2018.0,Cluster,Cluster,1.0,8.1,FWH,0.0,fwh,5.0,0.2,
732,Shadow Monster Imperial Stout,IMPERIAL STOUT,STOUT,2018.0,Nugget,Nugget,1.25,14.9,boil,60.0,bittering,5.0,0.25,
732,Shadow Monster Imperial Stout,IMPERIAL STOUT,STOUT,2018.0,Cluster,Cluster,1.0,8.1,boil,20.0,flavor,5.0,0.2,
732,Shadow Monster Imperial Stout,IMPERIAL STOUT,STOUT,2018.0,Cascade,Cascade,1.0,6.9,whirlpool,0.0,aroma,5.0,0.2,
733,Black Out IPA,AMERICAN IPA,IPA,2018.0,Cascade,Cascade,1.5,,boil,60.0,bittering,3.0,0.5,
733,Black Out IPA,AMERICAN IPA,IPA,2018.0,Centennial,Centennial,1.0,,boil,15.0,flavor,3.0,0.3333333333333333,
733,Black Out IPA,AMERICAN IPA,IPA,2018.0,Citra,Citra,1.0,,boil,5.0,flavor,3.0,0.3333333333333333,
733,Black Out IPA,AMERICAN IPA,IPA,2018.0,Citra,Citra,0.5,,dry hop,,dry_hop,3.0,0.16666666666666666,
733,Black Out IPA,AMERICAN IPA,IPA,2018.0,Citra,Citra,0.5,,dry hop,,dry_hop,3.0,0.16666666666666666,
733,Black Out IPA,AMERICAN IPA,IPA,2018.0,Whirlfloc,Whirlfloc,1.0,,boil,10.0,flavor,3.0,0.3333333333333333,
734,The Gunners Dream American Barleywine,BARLEYWINE,STRONG_ALE,2018.0,Cascade,Cascade,1.0,6.0,FWH,0.0,fwh,5.0,0.2,
734,The Gunners Dream American Barleywine,BARLEYWINE,STRONG_ALE,2018.0,Columbus,Columbus,2.0,15.4,boil,60.0,bittering,5.0,0.4,
734,The Gunners Dream American Barleywine,BARLEYWINE,STRONG_ALE,2018.0,Centennial,Centennial,1.0,10.5,boil,15.0,flavor,5.0,0.2,
734,The Gunners Dream American Barleywine,BARLEYWINE,STRONG_ALE,2018.0,Cascade,Cascade,1.0,6.0,boil,5.0,flavor,5.0,0.2,
734,The Gunners Dream American Barleywine,BARLEYWINE,STRONG_ALE,2018.0,Columbus,Columbus,1.0,15.4,boil,2.0,flavor,5.0,0.2,
734,The Gunners Dream American Barleywine,BARLEYWINE,STRONG_ALE,2018.0,Cascade,Cascade,1.0,6.0,boil,0.0,other,5.0,0.2,
734,The Gunners Dream American Barleywine,BARLEYWINE,STRONG_ALE,2018.0,Centennial,Centennial,1.0,10.5,boil,0.0,other,5.0,0.2,
734,The Gunners Dream American Barleywine,BARLEYWINE,STRONG_ALE,2018.0,Cascade,Cascade,2.0,6.0,dry hop,,dry_hop,5.0,0.4,
734,The Gunners Dream American Barleywine,BARLEYWINE,STRONG_ALE,2018.0,Centennial,Centennial,1.0,10.5,dry hop,,dry_hop,5.0,0.2,
735,BarleyQuad English Barleywine,BARLEYWINE,STRONG_ALE,2018.0,Target,Target,1.5,11.0,boil,60.0,bittering,4.5,0.3333333333333333,
735,BarleyQuad English Barleywine,BARLEYWINE,STRONG_ALE,2018.0,East Kent Goldings,East Kent Goldings,1.5,5.5,boil,15.0,flavor,4.5,0.3333333333333333,
736,Red Keep Biere de Garde,BIÈRE DE GARDE,OTHER,2018.0,Target,Target,0.4,9.8,boil,60.0,bittering,5.5,0.07272727272727274,
736,Red Keep Biere de Garde,BIÈRE DE GARDE,OTHER,2018.0,First Gold,First Gold,0.4,9.5,boil,20.0,flavor,5.5,0.07272727272727274,
736,Red Keep Biere de Garde,BIÈRE DE GARDE,OTHER,2018.0,Willamette,Willamette,0.4,5.1,boil,5.0,flavor,5.5,0.07272727272727274,
737,Mmm Quad,BELGIAN ALE,BELGIAN,2018.0,Magnum,Magnum,1.0,,boil,60.0,bittering,10.0,0.1,
737,Mmm Quad,BELGIAN ALE,BELGIAN,2018.0,Styrian Goldings,Styrian Goldings,0.6,,knockout,,other,10.0,0.06,
737,Mmm Quad,BELGIAN ALE,BELGIAN,2018.0,Turbnado Sugar,Turbnado Sugar,2.0,,boil,15.0,flavor,10.0,0.2,
737,Mmm Quad,BELGIAN ALE,BELGIAN,2018.0,Dark Candy sugar,Dark Candy sugar,1.0,,boil,15.0,flavor,10.0,0.1,
